Id,Include (1),Include (2)
1,Yes,
2,Yes,
3,Yes,
4,Yes,
5,Yes,
6,Yes,
7,Yes,
8,Yes,
9,Yes,
10,Yes,
11,Yes,
12,Yes,
13,Yes,
14,Yes,
15,Yes,
16,Yes,
17,Yes,
18,Yes,
19,Yes,
20,Yes,
21,Yes,
22,Maybe,
23,Yes,
24,Yes,
25,Yes,
26,Yes,
27,Yes,
28,Yes,
29,Yes,
30,Yes,
31,Yes,
32,Yes,
33,Maybe,
34,Yes,
35,Yes,
36,Yes,
37,Yes,
38,Yes,
39,Yes,
40,No,No
41,Yes,
42,Maybe,
43,Maybe,
44,Duplicate (17),
45,Yes,
46,Yes,
47,Maybe,
48,Maybe,
49,Maybe,
50,Yes,
51,Yes,
52,Yes,
53,Yes,
54,Yes,
55,Maybe,
56,Yes,
57,Maybe,
58,Maybe,
59,Yes,
60,Yes,
61,Yes,
62,Yes,
63,Yes,
64,Yes,
65,Maybe,
66,Yes,
67,Yes,
68,Maybe,
69,Maybe,
70,Yes,
71,Yes,
72,Maybe,
73,Yes,
74,Yes,
75,Maybe,
76,Yes,
77,Maybe,
78,Yes,
79,Yes,
80,Yes,
81,Yes,
82,Yes,
83,Yes,
84,Yes,
85,Yes,
86,No,No
87,Yes,
88,Yes,
89,Yes,
90,Yes,
91,Yes,
92,Yes,
93,No,No
94,Yes,
95,Yes,
96,Yes,
97,Maybe,
98,Duplicate (38),
99,Yes,
100,Maybe,
101,Yes,
102,Maybe,
103,Maybe,
104,No,No
105,Yes,
106,Yes,
107,Maybe,
108,Yes,
109,Maybe,
110,No,No
111,Maybe,
112,Yes,
113,Yes,
114,Yes,
115,Maybe,
116,Yes,
117,Yes,
118,Yes,
119,Yes,
120,Maybe,
121,Maybe,
122,Yes,
123,Yes,
124,No,No
125,Yes,
126,Duplicate (2),
127,Yes,
128,Yes,
129,Maybe,
130,Yes,
131,Yes,
132,Maybe,
133,Yes,
134,Maybe,
135,Maybe,
136,Yes,
137,Yes,
138,No,No
139,Yes,
140,Maybe,
141,Maybe,
142,Yes,
143,Maybe,
144,Yes,
145,Maybe,
146,Yes,
147,Maybe,
148,Yes,
149,Yes,
150,Yes,
151,Yes,
152,Maybe,
153,Duplicate (64),
154,Yes,
155,Yes,
156,Yes,
157,Yes,
158,Yes,
159,Yes,
160,Yes,
161,Yes,
162,Yes,
163,Yes,
164,Yes,
165,No,Yes
166,Yes,
167,Maybe,
168,Yes,
169,Yes,
170,Maybe,
171,Yes,
172,Yes,
173,Yes,
174,Yes,
175,No,Yes
176,Yes,
177,Duplicate (170),
178,Duplicate (75),
179,Duplicate (43),
180,Maybe,
181,Maybe,
182,Maybe,
183,Yes,
184,Duplicate (101),
185,Maybe,
186,Maybe,
187,Yes,
188,Duplicate (58),
189,No,Yes
190,Duplicate (147),
191,Duplicate (70),
192,Duplicate (95),
193,Maybe,
194,Maybe,
195,Yes,
196,Yes,
197,Yes,
198,No,No
199,Yes,
200,Maybe,
201,Duplicate (40),
202,Yes,
203,Maybe,
204,Yes,
205,Duplicate (82),
206,Duplicate (140),
207,Maybe,
208,Yes,
209,Yes,
210,Yes,
211,Yes,
212,Duplicate (59),
213,Duplicate (2),
214,Duplicate (11),
215,Duplicate (7),
216,Duplicate (35),
217,Duplicate (136),
218,Duplicate (6),
219,Duplicate (1),
220,Duplicate (78),
221,Duplicate (21),
222,Duplicate (58),
223,Duplicate (152),
224,Duplicate (8),
225,Duplicate (67),
226,Duplicate (97),
227,Duplicate (80),
228,Duplicate (42),
229,Duplicate (24),
230,Duplicate (187),
231,Duplicate (64),
232,Duplicate (26),
233,Duplicate (95),
234,Duplicate (99),
235,Duplicate (32),
236,Duplicate (61),
237,Duplicate (90),
238,Duplicate (10),
239,Duplicate (101),
240,Duplicate (86),
241,Duplicate (22),
242,Duplicate (70),
243,Duplicate (93),
244,Duplicate (88),
245,Duplicate (60),
246,Duplicate (76),
247,Duplicate (108),
248,Duplicate (94),
249,Duplicate (79),
250,Duplicate (121),
251,Duplicate (40),
252,Duplicate (161),
253,Duplicate (23),
254,No,No
255,Duplicate (125),
256,Duplicate (110),
257,No,No
258,Duplicate (145),
259,Duplicate (53),
260,Duplicate (199),
261,Duplicate (89),
262,Yes,
263,Duplicate (5),
264,Duplicate (17),
265,Duplicate (28),
266,Duplicate (72),
267,Duplicate (170),
268,Duplicate (14),
269,Duplicate (74),
270,Duplicate (142),
271,Duplicate (33),
272,Duplicate (83),
273,Duplicate (13),
274,Duplicate (19),
275,Duplicate (77),
276,Duplicate (4),
277,Duplicate (117),
278,Maybe,
279,Duplicate (36),
280,Duplicate (111),
281,Duplicate (3),
282,Duplicate (9),
283,Duplicate (138),
284,Duplicate (33),
285,Duplicate (7),
286,Duplicate (137),
287,Duplicate (67),
288,Duplicate (41),
289,Duplicate (83),
290,Duplicate (132),
291,Duplicate (95),
292,Duplicate (24),
293,Duplicate (65),
294,Duplicate (34),
295,Duplicate (38),
296,Duplicate (187),
297,Duplicate (87),
298,Duplicate (99),
299,Duplicate (64),
300,Duplicate (32),
301,Duplicate (150),
302,Duplicate (51),
303,Duplicate (50),
304,Duplicate (197),
305,Duplicate (18),
306,Duplicate (57),
307,Duplicate (46),
308,Duplicate (54),
309,Duplicate (113),
310,Duplicate (5),
311,Duplicate (25),
312,Duplicate (86),
313,Duplicate (109),
314,Duplicate (73),
315,Duplicate (16),
316,Duplicate (70),
317,Duplicate (17),
318,Duplicate (26),
319,Duplicate (157),
320,Duplicate (29),
321,Duplicate (140),
322,Duplicate (93),
323,Duplicate (101),
324,Duplicate (168),
325,Duplicate (62),
326,Duplicate (78),
327,Duplicate (149),
328,Duplicate (55),
329,Duplicate (139),
330,Duplicate (92),
331,Duplicate (105),
332,Duplicate (128),
333,Duplicate (21),
334,Duplicate (144),
335,Duplicate (28),
336,Duplicate (134),
337,Duplicate (169),
338,Yes,
339,Duplicate (106),
340,Duplicate (202),
341,Duplicate (6),
342,Duplicate (148),
343,Duplicate (66),
344,Duplicate (108),
345,Duplicate (94),
346,Duplicate (40),
347,Duplicate (100),
348,Duplicate (72),
349,Duplicate (161),
350,Duplicate (155),
351,Duplicate (119),
352,Duplicate (68),
353,Duplicate (127),
354,Duplicate (121),
355,Duplicate (48),
356,Duplicate (79),
357,Duplicate (110),
358,Duplicate (36),
359,Yes,
360,Duplicate (71),
361,Duplicate (170),
362,Duplicate (257),
363,Duplicate (14),
364,Duplicate (69),
365,Duplicate (96),
366,Duplicate (74),
367,Duplicate (112),
368,Duplicate (145),
369,Maybe,
370,Duplicate (183),
371,Duplicate (120),
372,No,No
373,Duplicate (39),
374,Duplicate (84),
375,Duplicate (102),
376,Yes,
377,Duplicate (63),
378,Duplicate (142),
379,Yes,